Temps,Temperature_au_laser,Temperature_au_milieu,Temperature_a_lactuateur,Temperature_predit_au_laser
432,25.9844925220347,26.8654849191324,26.2484060600518,25.9856632003118
436,25.9860492957876,26.8666384697814,26.2498216087092,25.987187576399
440,25.9875437608,26.8677457255346,26.2511804362181,25.9886509351964
444,25.9889784010167,26.8688085442332,26.2524848101994,25.9900557096843
448,25.9903556023425,26.8698287091864,26.2537369081331,25.9914042367633
452,25.9916776564143,26.8708079323886,26.2549388208902,25.9926987609554
456,25.9929467642375,26.8717478567927,26.2560925561317,25.9939414379725
460,25.9941650396907,26.8726500596153,26.2572000415785,25.9951343381553
464,25.9953345129038,26.8735160547759,26.2582631281572,25.9962794497863
468,25.9964571335113,26.8743472952286,26.2592835930257,25.9973786822813
472,25.9975347737859,26.8751451758947,26.2602631424828,25.9984338692627
476,25.9985692316562,26.8759110355584,26.2612034147663,25.9994467715186
480,25.999562233612,26.8766461593179,26.2621059827434,26.0004190798516
484,26.0005154374999,26.8773517806899,26.2629723564965,26.0013524178199
488,26.0014304352148,26.8780290836006,26.2638039858102,26.0022483443758
492,26.0023087552891,26.878679204664,26.2646022625603,26.0031083564042
496,26.0031518653837,26.8793032345784,26.2653685230111,26.0039338911636
500,26.0039611746841,26.8799022206277,26.2661040500225,26.0047263286357
504,26.0047380362056,26.8804771678278,26.2668100751713,26.0054869937835
508,26.0054837490088,26.8810290409662,26.2674877807894,26.0062171587238
512,26.0061995603316,26.8815587659247,26.2681383019221,26.0069180448153
516,26.0068866676377,26.8820672316899,26.2687627282097,26.0075908246668
520,26.0075462205864,26.8825552914331,26.2693621056953,26.0082366240672
524,26.0081793229265,26.8830237640641,26.2699374385611,26.0088565238406
528,26.0087870343157,26.8834734356725,26.2704896907969,26.0094515616297
532,26.0093703720702,26.8839050608645,26.271019787802,26.0100227336097
536,26.0099303128456,26.8843193637977,26.2715286179248,26.0105709961346
540,26.0104677942522,26.8847170395939,26.2720170339408,26.0110972673202
544,26.0109837164069,26.8850987557329,26.2724858544725,26.0116024285645
548,26.0114789434247,26.8854651525722,26.2729358653532,26.0120873260084
552,26.0119543048518,26.8858168449689,26.2733678209362,26.0125527719391
556,26.0124105970414,26.8861544231055,26.2737824453528,26.012999546139
560,26.0128485844765,26.8864784532709,26.2741804337199,26.0134283971805
564,26.0132690010399,26.8867894793056,26.2745624532999,26.0138400436698
568,26.0136725512345,26.8870880230687,26.2749291446143,26.014235175443
572,26.0140599113548,26.887374585519,26.2752811225129,26.0146144547127
576,26.0144317306131,26.8876496475031,26.2756189772013,26.0149785171716
580,26.01478863222,26.887913670483,26.2759432752262,26.0153279730504
584,26.0151312144231,26.8881670976048,26.2762545604226,26.0156634081353
588,26.0154600515038,26.8884103539272,26.2765533548225,26.0159853847438
592,26.015775694735,26.8886438478101,26.2768401595279,26.0162944426636
596,26.0160786733005,26.8888679709861,26.2771154555485,26.0165911000524
600,26.0163694951784,26.8890830995735,26.2773797046067,26.0168758543024
604,26.0166486479886,26.8892895944059,26.2776333499094,26.0171491828716
608,26.0169165998071,26.8894878021035,26.2778768168901,26.0174115440804
612,26.0171737999482,26.889678055235,26.2781105139206,26.0176633778777
616,26.0174206797145,26.8898606730009,26.2783348329946,26.0179051065757
620,26.0176576531184,26.8900359618365,26.278550150384,26.0181371355559
624,26.0178851175735,26.8902042159436,26.2787568272687,26.0183598539471
628,26.0181034545598,26.8903657175517,26.2789552103417,26.0185736352754
632,26.0183130302609,26.8905207375918,26.2791456323892,26.0187788380896
636,26.0185141961769,26.8906695363755,26.2793284128486,26.0189758065607
640,26.0187072897127,26.8908123634329,26.2795038583432,26.0191648710577
644,26.0188926347421,26.8909494584792,26.279672263196,26.0193463487007
648,26.0190705421501,26.89108105161,26.2798339099228,26.0195205438915
652,26.0192413103533,26.8912073634788,26.2799890697056,26.0196877488231
656,26.0194052257993,26.8913286061616,26.2801380028471,26.019848243969
660,26.0195625634465,26.8914449830677,26.2802809592066,26.0200022985532
664,26.0197135872247,26.8915566894863,26.2804181786193,26.0201501710002
668,26.0198585504764,26.8916639128616,26.2805498912979,26.0202921093687
672,26.0199976963822,26.8917668330292,26.2806763182188,26.0204283517667
676,26.0201312583673,26.891865622809,26.280797671492,26.0205591267503
680,26.0202594604929,26.8919604477849,26.2809141547173,26.0206846537071
684,26.0203825178316,26.8920514672535,26.2810259633253,26.0208051432231
688,26.0205006368279,26.8921388338808,26.2811332849051,26.0209207974362
692,26.0206140156439,26.8922226943109,26.281236299519,26.0210318103748
696,26.0207228444916,26.8923031891173,26.2813351800042,26.0211383682826
700,26.0208273059517,26.8923804534939,26.2814300922627,26.0212406499313
704,26.0209275752793,26.8924546170714,26.2815211955397,26.02133882692
708,26.0210238206984,26.8925258042562,26.2816086426902,26.0214330639628
712,26.021116203683,26.8925941345071,26.2816925804359,26.0215235191652
716,26.0212048792287,26.892659722553,26.2817731496108,26.0216103442887
720,26.0212899961117,26.8927226783539,26.2818504853978,26.0216936850059
724,26.021371697139,26.8927831074836,26.281924717555,26.0217736811441
728,26.0214501193873,26.8928411115337,26.2819959706336,26.02185046692
732,26.0215253944333,26.8928967876845,26.282064364187,26.021924171165
736,26.021597648574,26.8929502294145,26.2821300129708,26.0219949175411
740,26.0216670030384,26.8930015264523,26.2821930271358,26.0220628247478
744,26.0217335741914,26.8930507647169,26.2822535124124,26.022128006722
748,26.0217974737281,26.893098026958,26.2823115702883,26.0221905728285
752,26.0218588088621,26.8931433924481,26.2823672981784,26.0222506280435
756,26.0219176825044,26.8931869373219,26.2824207895884,26.022308273131
760,26.0219741934365,26.8932287346511,26.2824721342717,26.0223636048112
